date,RV_target,RV_d,RV_w,RV_m,log_return,neg_return,semivariance,parkinson_rv,hl_range,log_volume,implied_vol,fx_level,fx_change,rate_3y,rate_10y,rate_spread,policy_rate,gold_chg,crb_chg,wti_chg,natgas_chg,corn_chg,spillover_SP500,spillover_KOSPI,epu,weekday_sin,weekday_cos,momentum_1w,momentum_1m,momentum_3m,momentum_6m,US_RV_target,US_RV_d,US_RV_w,US_RV_m,US_log_return,US_neg_return,US_semivariance,US_parkinson_rv,US_hl_range,US_log_volume,US_implied_vol,US_fx_level,US_fx_change,US_rate_3y,US_rate_10y,US_rate_spread,US_policy_rate,US_gold_chg,US_crb_chg,US_wti_chg,US_natgas_chg,US_corn_chg,US_spillover_Nikkei,US_spillover_KOSPI,US_epu,US_weekday_sin,US_weekday_cos,US_momentum_1w,US_momentum_1m,US_momentum_3m,US_momentum_6m,split
2000-12-06,1.19974005725282,1.483860790674786,1.134520383099363,1.127387658152203,-0.01511127979338949,-0.01511127979338949,0.0002283507769941015,0.000114377919299433,0.01796739203665019,,,110.29,-0.007290729072907176,0.699,1.63,0.9309999999999999,0.25,0.01463593121112328,0.0176824564110476,0.01083643752116492,0.1491061755146261,-0.005681818181818232,0.0381832867140222,0.02990337568248199,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0231,-0.0314,-0.09210000000000002,-0.1328,1.456891493150399,1.381226765348471,1.499329702190851,1.32702498659845,0.0381832867140222,0.0,0.0,0.0003647980732459381,0.03130312232118204,18.20094751263079,24.99,114.47,0.006683668982499391,5.474,5.42833,-0.04567000000000032,6.5,-0.001826150474799171,-0.01762842374910956,-0.05413196668802045,-0.006592223866541014,-0.001135073779795714,0.02182776884761812,-0.02505568047420136,104.6642651146996,0.9510565162951535,0.3090169943749475,0.0303,-0.0352,-0.0866,-0.0621,train
2000-12-07,0.7329476180336928,1.19974005725282,1.199369701023409,1.135653572534788,-0.001172957402435638,-0.001172957402435638,1.375829067928559e-06,2.148770949825323e-05,0.00769344916900493,,,110.52,0.002085411188684327,0.664,1.57,0.906,0.25,-0.004327443202307935,-0.002724038247720606,-0.01675041876046901,-0.01319976428992342,-0.01828571428571424,-0.01838761483443608,0.001797362420378915,104.6642651146996,-0.587785252292473,-0.8090169943749476,0.0121,-0.0404,-0.0969,-0.1414,1.399233616345748,1.456891493150399,1.555549113724908,1.350763214772012,-0.01838761483443608,-0.01838761483443608,0.0003381043792995738,0.0001736047839869317,0.02209462359226311,18.18745218168853,25.07,113.31,-0.01013365947409794,5.405,5.29899,-0.1060100000000004,6.5,0.01463593121112328,0.0176824564110476,0.01083643752116492,0.1491061755146261,-0.005681818181818232,0.00975610988516659,0.02990337568248199,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0071,-0.0564,-0.0943,-0.073,train
2000-12-08,1.032732447401552,0.7329476180336928,1.111882421457428,1.13614213485768,-0.01096672514775374,-0.01096672514775374,0.0001202690604663742,3.58957203658493e-05,0.009998022354216858,,,110.96,0.003981179876945351,0.695,1.596,0.9010000000000001,0.25,-0.003621876131836288,-0.004890310091268946,-0.03100511073253831,0.02520004777260243,0.0186263096623982,-0.005870124944837971,0.01130888433566431,104.6642651146996,-0.9510565162951536,0.3090169943749472,-0.0116,-0.0457,-0.1094,-0.1357,0.9884034265478838,1.399233616345748,1.55855047363516,1.378360922031907,-0.005870124944837971,-0.005870124944837971,3.445836686800899e-05,4.034663503025204e-05,0.01059878679617432,17.87895795392512,25.34,113.54,0.002029829670814554,5.411,5.30095,-0.1100499999999993,6.5,-0.004327443202307935,-0.002724038247720606,-0.01675041876046901,-0.01319976428992342,-0.01828571428571424,-0.01511127979338949,0.001797362420378915,104.6642651146996,-0.587785252292473,-0.8090169943749476,0.0217,-0.0617,-0.1058,-0.08689999999999999,train
2000-12-11,1.072183255865806,1.032732447401552,1.069440060081079,1.134629225132797,0.007608784050142785,0.0,0.0,0.0001230075090179205,0.01863913534877739,,,110.8,-0.00144196106705119,0.75,1.642,0.8919999999999999,0.25,-0.007270083605961486,0.01741663441363994,0.03727144866385368,0.09657502329916134,-0.008000000000000007,0.019415080038481,0.02083979479964822,104.6642651146996,0.0,1.0,-0.012,0.0018,-0.0691,-0.1095,1.792135298685063,0.9884034265478838,1.332061336988625,1.396747653562237,0.019415080038481,0.0,0.0,0.0001431800936460812,0.01987750841308427,18.08393229330757,22.41,114.05,0.004491809054077756,5.399,5.29864,-0.1003600000000002,6.5,-0.003621876131836288,-0.004890310091268946,-0.03100511073253831,0.02520004777260243,0.0186263096623982,-0.001172957402435638,0.01130888433566431,104.6642651146996,-0.9510565162951536,0.3090169943749472,0.0416,-0.028,-0.0834,-0.06280000000000001,train
2000-12-12,0.8979894043083387,1.072183255865806,1.104292833845731,1.101362885598685,0.02151844474323077,0.0,0.0,6.217514148139181e-05,0.01319374987580552,,,111.41,0.005505415162454952,0.758,1.647,0.889,0.25,0.0003661662394724985,-0.01222820646297995,0.006101694915254141,-0.1347073196642942,-0.003456221198156695,0.007497971558706652,0.03669614480879672,104.6642651146996,0.9510565162951535,0.3090169943749475,0.0274,0.0084,-0.05769999999999999,-0.1099,0.9420876472694036,1.792135298685063,1.403578120015513,1.445707874080504,0.007497971558706652,0.0,0.0,0.0001181063719999195,0.01804810896971443,18.11569321574659,23.51,114.29,0.002104340201666055,5.469,5.35588,-0.1131200000000003,6.5,-0.007270083605961486,0.01741663441363994,0.03727144866385368,0.09657502329916134,-0.008000000000000007,-0.01096672514775374,0.02083979479964822,104.6642651146996,0.0,1.0,0.0417,0.0104,-0.0732,-0.0527,train
2000-12-13,1.22402649193022,0.8979894043083387,0.9871185565724419,1.088271508236955,-0.0007355012175783252,-0.0007355012175783252,5.409620410591989e-07,0.0001266566884951921,0.01879532287786184,,,112.31,0.008078269455165765,0.76,1.696,0.9359999999999999,0.25,-0.007320644216691097,-0.01655510005523431,-0.03167115902964968,-0.07464702271332102,0.005780346820809301,-0.006556733213653417,-0.02135104970859583,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0132,0.0344,-0.06309999999999999,-0.1032,0.8517602840033133,0.9420876472694036,1.315750296399699,1.438106355991779,-0.006556733213653417,-0.006556733213653417,4.299075043502587e-05,1.906963742358843e-05,0.007292988520836068,17.95091758211203,24.88,114.26,-0.0002624901566191662,5.45,5.34555,-0.1044499999999999,6.5,0.0003661662394724985,-0.01222820646297995,0.006101694915254141,-0.1347073196642942,-0.003456221198156695,0.007608784050142785,0.03669614480879672,104.6642651146996,0.9510565162951535,0.3090169943749475,-0.0039,0.0038,-0.0748,-0.0517,train
2000-12-14,0.8928570046636571,1.22402649193022,0.9919758435079219,1.103378758216843,0.0007156299173655509,0.0,0.0,8.802629756603781e-05,0.01552228919652912,,,112.11,-0.001780785326328971,0.721,1.661,0.9400000000000001,0.25,0.001106194690265516,-0.01304141719138063,-0.02609603340292277,-0.0164521692981292,0.004597701149425371,-0.008194336210959823,0.02681554418067469,104.6642651146996,-0.587785252292473,-0.8090169943749476,0.0256,0.0182,-0.0793,-0.1037,1.379053355487017,0.8517602840033133,1.194724054570282,1.392283914939605,-0.008194336210959823,-0.008194336210959823,6.714714593824738e-05,0.0001431980570755653,0.02010308899330136,18.04559852032988,23.63,114.71,0.003938386136880689,5.361,5.25556,-0.1054399999999998,6.5,-0.007320644216691097,-0.01655510005523431,-0.03167115902964968,-0.07464702271332102,0.005780346820809301,0.02151844474323077,-0.02135104970859583,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0063,0.006500000000000001,-0.08410000000000001,-0.0745,train
2000-12-15,1.074195998781414,0.8928570046636571,1.023957720833915,1.076566646919773,-0.01768207140945989,-0.01768207140945989,0.000312655649329239,0.0001310946999285806,0.01888433429519151,,,112.54,0.003835518687003825,0.706,1.647,0.9410000000000001,0.25,0.005156537753222779,0.01534381313856414,0.03143979992854606,0.1326048833130986,-0.001144164759725452,-0.01411394369352685,-0.0189289233273174,104.6642651146996,-0.9510565162951536,0.3090169943749472,0.0092,-0.0167,-0.1024,-0.1093,1.232638097122996,1.379053355487017,1.190688002398536,1.389165356417614,-0.01411394369352685,-0.01411394369352685,0.0001992034065840462,7.294787363554184e-05,0.01431842079750624,17.93072944506832,24.86,113.38,-0.01159445558364569,5.326,5.20063,-0.1253699999999993,6.5,0.001106194690265516,-0.01304141719138063,-0.02609603340292277,-0.0164521692981292,0.004597701149425371,-0.0007355012175783252,0.02681554418067469,104.6642651146996,-0.587785252292473,-0.8090169943749476,-0.002,-0.0304,-0.09449999999999999,-0.08810000000000001,train
2000-12-18,1.069155813852686,1.074195998781414,1.032250431109887,1.082607121279796,-0.02526179911412978,-0.02526179911412978,0.0006381584944826482,5.677328331080012e-05,0.01255739019803067,,,112.1,-0.003909720988093279,0.713,1.689,0.9760000000000001,0.25,-0.00329791132282875,0.0,0.03082784897817814,0.01560266793711262,0.02290950744558984,-0.02169638983112702,-0.02474742062524309,104.6642651146996,0.0,1.0,-0.0368,-0.0042,-0.09820000000000001,-0.1124,1.564421503454552,1.232638097122996,1.239534936513559,1.354802106753107,-0.02169638983112702,-0.02169638983112702,0.000470733331704232,0.0002013477213792731,0.02378539038981809,18.43820304013142,26.55,112.9,-0.004233550890809568,5.293,5.18006,-0.11294,6.5,0.005156537753222779,0.01534381313856414,0.03143979992854606,0.1326048833130986,-0.001144164759725452,0.0007156299173655509,-0.0189289233273174,104.6642651146996,-0.9510565162951536,0.3090169943749472,-0.0421,-0.0559,-0.1048,-0.1127,train
2000-12-19,1.132719703853517,1.069155813852686,1.031644942707263,1.087473032281043,-5.531738350183252e-05,-5.531738350183252e-05,3.060012917488812e-09,0.0001913229777561611,0.0227685733252198,,,112.35,0.002230151650312262,0.694,1.652,0.958,0.25,0.0,0.005928569224915359,-0.01444892473118287,0.06743286032602325,0.01119820828667417,0.008038329510869746,0.009820534170218281,104.6642651146996,0.9510565162951535,0.3090169943749475,-0.0432,-0.0283,-0.1235,-0.1482,1.464502003397059,1.564421503454552,1.193992177467456,1.348277434829396,0.008038329510869746,0.0,0.0,5.264767572419552e-05,0.01209610354264632,17.99472922063234,27.7,113.07,0.001505757307351585,5.246,5.15771,-0.08829000000000065,6.5,-0.00329791132282875,0.0,0.03082784897817814,0.01560266793711262,0.02290950744558984,-0.01768207140945989,-0.02474742062524309,104.6642651146996,0.0,1.0,-0.0416,-0.0329,-0.0843,-0.0968,train
2000-12-20,1.411439022183034,1.132719703853517,1.078591002616299,1.095286490416076,-0.02868942863823467,-0.02868942863823467,0.0008230833155883594,0.0001461623280838908,0.01997210480622802,,,112.74,0.003471295060080148,0.663,1.583,0.9199999999999999,0.25,0.009926470588235148,-0.01986863291333352,-0.1213774292533242,0.02460997582948798,-0.003322259136212646,-0.01304263753826157,-0.01583107067236066,104.6642651146996,0.5877852522924732,-0.8090169943749473,-0.0736,-0.0425,-0.1546,-0.177,1.814647994874212,1.464502003397059,1.298475048692987,1.362745415966882,-0.01304263753826157,-0.01304263753826157,0.0001701103939544699,0.0003490219726724284,0.03158700980392157,18.12113196758764,27.17,113.21,0.001238171044485759,5.271,5.18794,-0.08305999999999969,6.5,0.0,0.005928569224915359,-0.01444892473118287,0.06743286032602325,0.01119820828667417,-0.02526179911412978,0.009820534170218281,104.6642651146996,0.9510565162951535,0.3090169943749475,-0.0478,-0.0454,-0.1057,-0.1214,train
2000-12-21,1.792623231586604,1.411439022183034,1.116073508666862,1.112711908582749,-0.02046037313103468,-0.02046037313103468,0.0004186268686611657,0.0007103401869993111,0.04344857640906442,,,112.27,-0.004168884158240238,0.642,1.54,0.898,0.25,0.003640334910811838,0.007426413834825007,0.008149010477299212,0.0540424619343769,0.005555555555555536,-0.03179613776998421,-0.03175356012964162,104.6642651146996,-0.587785252292473,-0.8090169943749476,-0.07769999999999999,-0.0684,-0.177,-0.22,2.185078283159668,1.814647994874212,1.491052590867167,1.396581459241535,-0.03179613776998421,-0.03179613776998421,0.001010994377087817,0.0004325525887851517,0.03513765675158517,18.1741146966456,31.74,111.97,-0.01095309601625294,5.146,5.037,-0.109,6.5,0.009926470588235148,-0.01986863291333352,-0.1213774292533242,0.02460997582948798,-0.003322259136212646,-5.531738350183252e-05,-0.01583107067236066,104.6642651146996,0.5877852522924732,-0.8090169943749473,-0.07,-0.058,-0.1286,-0.1431,train
2000-12-22,1.130283993437933,1.792623231586604,1.296026754051451,1.151270888792141,-0.02188206848696571,-0.02188206848696571,0.0004788249212682577,6.41821513432876e-05,0.01329769858945798,,,112.86,0.00525518838514305,0.639,1.577,0.938,0.25,-0.0007254261878852919,-0.002433064833412657,0.007698229407236301,-0.02553407934893182,0.002209944751381254,0.007969801202207529,-0.004502448864873256,104.6642651146996,-0.9510565162951536,0.3090169943749472,-0.07440000000000001,-0.0611,-0.1512,-0.2151,1.516820279095384,2.185078283159668,1.652257576401698,1.418296043952096,0.007969801202207529,0.0,0.0,0.0002183660012864031,0.02450465149114413,18.11210091166961,29.66,111.51,-0.004108243279449808,5.117,5.03279,-0.08420999999999967,6.5,0.003640334910811838,0.007426413834825007,0.008149010477299212,0.0540424619343769,0.005555555555555536,-0.02868942863823467,-0.03175356012964162,104.6642651146996,-0.587785252292473,-0.8090169943749476,-0.0493,-0.0538,-0.1202,-0.1381,train
2000-12-25,1.415570894138474,1.130283993437933,1.307244352982755,1.148241120319039,0.009428316158731959,0.0,0.0,0.0002124357330436828,0.02456609989998241,,,112.71,-0.001329080276448735,0.645,1.612,0.9670000000000001,0.25,0.0,0.0,0.0,0.0,0.0,0.02410969102695303,-0.02232191446586365,104.6642651146996,0.0,1.0,-0.0612,-0.0268,-0.1289,-0.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
2000-12-26,0.9262226099167862,1.415570894138474,1.376527369039912,1.156671427872998,0.02044757349349571,0.0,0.0,9.466381934356826e-05,0.016233742839644,,,113.58,0.007718924673941974,0.639,1.612,0.9730000000000001,0.25,0.001451905626134176,0.0094290666417578,0.0175706646294882,0.02359327696001667,0.0,0.0,0.0,104.6642651146996,0.9510565162951535,0.3090169943749475,-0.018,-0.0215,-0.1206,-0.1724,1.319990289248751,1.516820279095384,1.709094012796175,1.425557732357147,0.02410969102695303,0.0,0.0,0.0001515750701735738,0.02029143089044924,17.88044044104693,27.55,110.82,-0.006187785848802863,5.054,5.00226,-0.05174000000000056,6.5,-0.0007254261878852919,-0.002433064833412657,0.007698229407236301,-0.02553407934893182,0.002209944751381254,-0.02046037313103468,-0.004502448864873256,104.6642651146996,-0.9510565162951536,0.3090169943749472,-0.004699999999999999,-0.0124,-0.09849999999999999,-0.1007,train
2000-12-27,1.055310336061388,0.9262226099167862,1.335227950252566,1.142028662547387,0.004084309152971582,0.0,0.0,6.312501518195181e-05,0.01318593787001356,,,114.26,0.005986969536890374,0.627,1.597,0.97,0.25,0.003624501631025678,-0.0001130994915663486,-0.006381381381381446,0.01784803671596125,0.008820286659316334,0.007035082197664574,0.00799829177856006,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0015,-0.05019999999999999,-0.106,-0.1908,0.910143517797513,1.319990289248751,1.660207769955015,1.435284933413316,0.007035082197664574,0.0,0.0,4.305814615647309e-05,0.01087295371771376,17.48223549995282,28.73,110.31,-0.004602057390362679,5.091,5.04809,-0.04291,6.5,0.001451905626134176,0.0094290666417578,0.0175706646294882,0.02359327696001667,0.0,-0.02188206848696571,-0.02232191446586365,104.6642651146996,0.9510565162951535,0.3090169943749475,0.0073,-0.0198,-0.0785,-0.09630000000000001,train
2000-12-28,0.718568046684034,1.055310336061388,1.264002213028237,1.131017340203316,0.002272215096162153,0.0,0.0,2.862874527377861e-05,0.008884513496097956,,,114.46,0.00175039383861364,0.665,1.652,0.9869999999999999,0.25,-0.01155651859877205,-0.007192913001228818,-0.02342274272761602,-0.07184368737474955,0.006557377049180246,0.01038544039891555,0.0,104.6642651146996,-0.587785252292473,-0.8090169943749476,0.0405,-0.0486,-0.1075,-0.1971,0.922041215539602,0.910143517797513,1.549336072835106,1.404065107539815,0.01038544039891555,0.0,0.0,9.169189984627624e-05,0.01585497998374615,17.75202778049883,28.14,110.32,9.06536125464541e-05,5.152,5.09815,-0.05384999999999973,6.5,0.003624501631025678,-0.0001130994915663486,-0.006381381381381446,0.01784803671596125,0.008820286659316334,0.02044757349349571,0.00799829177856006,104.6642651146996,0.5877852522924732,-0.8090169943749473,0.0507,-0.0149,-0.06849999999999999,-0.0839,train
