model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
LightGBM,911,JP,momentum,expanding,Recovery,0.19795346962237056,0.15913743557064344,0.011904776496981257,0.15493617179402555,0.012021972745930736,14
XGBoost,911,JP,momentum,static,Full Test,0.234888355160357,0.18572229074515226,0.013887510370042246,0.171081514037302,0.012368440369732293,14
XGBoost,911,JP,momentum,static,Shock,0.3046419143417196,0.24274495108409821,0.01563023190747232,0.17605309588364504,0.012368440369732293,14
XGBoost,911,JP,momentum,static,Recovery,0.21245414634906862,0.17051624798809997,0.013422784626727559,0.1662857043116583,0.012368440369732293,14
XGBoost,911,JP,momentum,expanding,Full Test,0.21520030413948757,0.17141440789645732,0.011886700068744963,0.1567416734147454,0.012368440369732293,14
XGBoost,911,JP,momentum,expanding,Shock,0.2909647421711801,0.23368932225261596,0.01414458365057651,0.1681490341304874,0.012368440369732293,14
XGBoost,911,JP,momentum,expanding,Recovery,0.18995970140810844,0.1548077640681483,0.011284597780256549,0.1486795305354044,0.012368440369732293,14
Ridge,gfc,US,momentum,static,Full Test,0.3842040481951963,0.2424280049390454,0.01855812035668543,0.23768733767933317,0.018994188782156127,14
Ridge,gfc,US,momentum,static,Pre-Lehman,0.2460803183451736,0.16745332244585956,0.01708945052176568,0.22073564553298866,0.018994188782156127,14
Ridge,gfc,US,momentum,static,Lehman Crisis,0.6351988924940027,0.4570095875860894,0.024349806077654742,0.22459931913025571,0.018994188782156127,14
Ridge,gfc,US,momentum,static,Recovery,0.2679185876791838,0.18577857028812428,0.01506601131626007,0.17029226210542342,0.018994188782156127,14
Ridge,gfc,US,momentum,expanding,Full Test,0.38021308363576883,0.2451214720297229,0.018436097004721437,0.23521833261455324,0.018994188782156127,14
Ridge,gfc,US,momentum,expanding,Pre-Lehman,0.24422413358073128,0.16664373046397157,0.016931214054885565,0.2190706357306486,0.018994188782156127,14
Ridge,gfc,US,momentum,expanding,Lehman Crisis,0.6237264094772049,0.46119865073961586,0.023540951583199427,0.22054277573140127,0.018994188782156127,14
Ridge,gfc,US,momentum,expanding,Recovery,0.2797237173792146,0.1986207147537286,0.016102338572048853,0.17779574388502056,0.018994188782156127,14
ElasticNet,gfc,US,momentum,static,Full Test,0.4046577687159338,0.25418091008905874,0.019657326407253966,0.25034100543491417,0.018073876409972427,14
ElasticNet,gfc,US,momentum,static,Pre-Lehman,0.25576220795897725,0.17199629391757607,0.018072116406798462,0.2294203634667665,0.018073876409972427,14
ElasticNet,gfc,US,momentum,static,Lehman Crisis,0.6760123997054227,0.4877613526431329,0.027188118876849875,0.2390305249137092,0.018073876409972427,14
ElasticNet,gfc,US,momentum,static,Recovery,0.26783529900504666,0.1945383259645675,0.01396881807947144,0.1702393228269305,0.018073876409972427,14
ElasticNet,gfc,US,momentum,expanding,Full Test,0.4022546223314469,0.25216169689347856,0.0189032815721282,0.24885430203117434,0.018073876409972427,14
ElasticNet,gfc,US,momentum,expanding,Pre-Lehman,0.2532593839373891,0.17085666987533035,0.017780856804854722,0.22717531404641506,0.018073876409972427,14
ElasticNet,gfc,US,momentum,expanding,Lehman Crisis,0.6739129210365258,0.4887732106508807,0.02562834666415259,0.2382881724235918,0.018073876409972427,14
ElasticNet,gfc,US,momentum,expanding,Recovery,0.26227125736573836,0.18486095933407443,0.012786261548321524,0.16670275134297968,0.018073876409972427,14
Huber,gfc,US,momentum,static,Full Test,0.4024528679913485,0.24760058943744281,0.01957683547679153,0.24897694645236107,0.017979229976637104,14
Huber,gfc,US,momentum,static,Pre-Lehman,0.2504858716169118,0.16592553797741513,0.01737991739859475,0.2246874554619853,0.017979229976637104,14
Huber,gfc,US,momentum,static,Lehman Crisis,0.6733057331284641,0.4764049113552254,0.027027035821674098,0.23807347747946284,0.017979229976637104,14
Huber,gfc,US,momentum,static,Recovery,0.27553364852172385,0.19331960110061672,0.01617313266108879,0.17513248595170391,0.017979229976637104,14
Huber,gfc,US,momentum,expanding,Full Test,0.3931782552189589,0.24650495123937502,0.019146980615819858,0.24323921925185005,0.017979229976637104,14
Huber,gfc,US,momentum,expanding,Pre-Lehman,0.24821938863103762,0.16550251452533313,0.017194210426630076,0.22265440548732326,0.017979229976637104,14
Huber,gfc,US,momentum,expanding,Lehman Crisis,0.6528011685397649,0.4721847404974852,0.02584966063682363,0.23082328970347002,0.017979229976637104,14
Huber,gfc,US,momentum,expanding,Recovery,0.2759572013903936,0.19453138722813293,0.016000885128573034,0.1754017012262088,0.017979229976637104,14
LightGBM,gfc,US,momentum,static,Full Test,0.6164130757235254,0.32226683944432244,0.030944122441587563,0.3813431523371591,0.016072240820248027,14
LightGBM,gfc,US,momentum,static,Pre-Lehman,0.2627857079071035,0.17673033668041926,0.02033870410575748,0.2357204885859803,0.016072240820248027,14
LightGBM,gfc,US,momentum,static,Lehman Crisis,1.1480434791757788,0.7502342716855428,0.06623068137773845,0.40593550587345256,0.016072240820248027,14
LightGBM,gfc,US,momentum,static,Recovery,0.269715894278313,0.1951510696097992,0.015530951400360149,0.17143465169889652,0.016072240820248027,14
LightGBM,gfc,US,momentum,expanding,Full Test,0.5158293162572014,0.29070167951347625,0.02426668823674606,0.3191171395878538,0.016072240820248027,14
LightGBM,gfc,US,momentum,expanding,Pre-Lehman,0.26166272621816844,0.17787385915746207,0.02020723355258567,0.23471316670954684,0.016072240820248027,14
