model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,gfc,KR,extended,22,expanding,Full Test,0.42561728629056006,0.24117079024335042,0.019754819732007465,0.2896044509798032,,,,,28,TRUE,0.019416121441502975,13,24
1DCNN,gfc,KR,extended,22,expanding,Pre-Lehman,0.2644774330531485,0.1869522587819533,0.021406409557743332,0.2314642792988505,,,,,28,TRUE,0.019416121441502975,13,24
1DCNN,gfc,KR,extended,22,expanding,Lehman Crisis,0.7006120772119544,0.4042002205121315,0.018987662,0.30086630496652617,,,,,28,TRUE,0.019416121441502975,13,24
1DCNN,gfc,KR,extended,22,expanding,Recovery,0.32647817423113057,0.18707858249545098,0.015209037110838833,0.24607019830009094,,,,,28,TRUE,0.019416121441502975,13,24
1DCNN,gfc,JP,extended,60,expanding,Full Test,0.356151977,0.2068605247216347,0.016076133,0.26196118958962405,,,,,28,TRUE,0.014360161053103167,31,24
1DCNN,gfc,JP,extended,60,expanding,Pre-Lehman,0.19274444510399003,0.14267799075329776,0.014100557014143032,0.17904279517936966,,,,,28,TRUE,0.014360161053103167,31,24
1DCNN,gfc,JP,extended,60,expanding,Lehman Crisis,0.6280965308829817,0.3827590701872842,0.020540745254818867,0.295249772,,,,,28,TRUE,0.014360161053103167,31,24
1DCNN,gfc,JP,extended,60,expanding,Recovery,0.2307197867764441,0.1773297159702747,0.016573127344890044,0.1859098172656978,,,,,28,TRUE,0.014360161053103167,31,24
1DCNN,covid,US,extended,22,expanding,Full Test,0.4031302006172488,0.22113816229806793,0.025318131107651274,0.35162277031074063,,,,,28,TRUE,0.021594961,39,13
1DCNN,covid,US,extended,22,expanding,Pre-crash,0.12035694727621778,0.092347579,0.034403254734635444,0.2498481633841348,,,,,28,TRUE,0.021594961,39,13
1DCNN,covid,US,extended,22,expanding,Crash,1.2245744203844007,0.9822267577761695,0.044882354,0.3409340713083093,,,,,28,TRUE,0.021594961,39,13
1DCNN,covid,US,extended,22,expanding,Recovery,0.2079816973662315,0.16137154726311564,0.021522152,0.20793860625237998,,,,,28,TRUE,0.021594961,39,13
1DCNN,covid,KR,extended,252,expanding,Full Test,0.264293353,0.18043639066238557,0.029421753,0.25916814008342376,,,,,28,TRUE,0.022809144471652266,32,13
1DCNN,covid,KR,extended,252,expanding,Pre-crash,0.17266107392668273,0.13047974279948643,0.022142012978814556,0.22145372594847237,,,,,28,TRUE,0.022809144471652266,32,13
1DCNN,covid,KR,extended,252,expanding,Crash,0.38434596114273645,0.26693848485038396,0.013291508,0.1956171863964807,,,,,28,TRUE,0.022809144471652266,32,13
1DCNN,covid,KR,extended,252,expanding,Recovery,0.2619783437485003,0.18008190471058091,0.032513034941316694,0.27284177370378493,,,,,28,TRUE,0.022809144471652266,32,13
1DCNN,covid,JP,extended,22,expanding,Full Test,0.2610419698718763,0.15352482774427959,0.022291970828086743,0.29991688015787005,,,,,28,TRUE,0.019357217906052406,41,12
1DCNN,covid,JP,extended,22,expanding,Pre-crash,0.10647818915577265,0.089283394,0.019471456,0.19839876530591571,,,,,28,TRUE,0.019357217906052406,41,12
1DCNN,covid,JP,extended,22,expanding,Crash,0.6306935749413298,0.3690794235781619,0.018971041671233178,0.2755297202498069,,,,,28,TRUE,0.019357217906052406,41,12
1DCNN,covid,JP,extended,22,expanding,Recovery,0.21106690458144983,0.14290348368306313,0.023131619385313558,0.26898819372106725,,,,,28,TRUE,0.019357217906052406,41,12
TCN,normal,US,extended,252,static,Full Test,0.17099001016759652,0.10560964753283324,0.027091249908155993,0.29225091309754825,0.028395045405252634,0.027317654970930264,22,22,28,TRUE,0.022094676174942245,29,76
TCN,normal,KR,extended,60,static,Full Test,0.13350180790909216,0.10549889807983981,0.024934789156772108,0.2511265378566702,0.018648977,0.014264257640012951,14,14,28,TRUE,0.019056961977164305,18,74
TCN,normal,JP,extended,252,static,Full Test,0.23977458439317395,0.19285052473822686,0.052225593,0.35232941098612275,0.016848089580680074,0.034169474,18,18,28,TRUE,0.018666961223472056,20,73
TCN,911,US,extended,22,static,Full Test,0.3786368077393093,0.31715031531121995,0.053838499,0.35957934985919027,0.021898066199845682,0.036492399871349335,10,10,28,TRUE,0.033359746111993716,24,7
TCN,911,US,extended,22,static,Shock,0.4662669033078646,0.36417837142944337,0.034756359,0.2958708041031898,0.021898066199845682,0.036492399871349335,10,10,28,TRUE,0.033359746111993716,24,7
TCN,911,US,extended,22,static,Recovery,0.3557229094728258,0.30646212073889645,0.058175348488398664,0.3807964136037586,0.021898066199845682,0.036492399871349335,10,10,28,TRUE,0.033359746111993716,24,7
TCN,911,KR,extended,252,static,Full Test,0.5874388606281609,0.37398209203692045,0.048789807,0.4162556966187628,0.027829924,0.068834275,8,8,28,TRUE,0.016661532,16,7
TCN,911,KR,extended,252,static,Shock,1.071745042036597,0.7465480301115248,0.10079063896041045,0.7825234062581893,0.027829924,0.068834275,8,8,28,TRUE,0.016661532,16,7
TCN,911,KR,extended,252,static,Recovery,0.382150718,0.2816951165505506,0.035908867,0.2688247644690181,0.027829924,0.068834275,8,8,28,TRUE,0.016661532,16,7
