model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
XGBoost,911,US,momentum,0.016789019232024416,,,,399.0,0.022723392928183393,4.0,,,0.8566949858092492,0.8857503632212278,0.03742061115681797,0.01981592467953186,1.017194279554849,0.03676063236712382
Ridge,911,US,extended,0.013992132923153853,21.42302175774105,,,,,,,,,,,,,
ElasticNet,911,US,extended,0.012563694734765117,0.00883841808209764,0.3858302068947759,,,,,,,,,,,,
Huber,911,US,extended,0.013197672705200728,1.0436208320196896e-05,,1.8052666590341149,,,,,,,,,,,
LightGBM,911,US,extended,0.016626063351702396,,,,1047.0,0.008960757871400068,4.0,131.0,39.0,0.6677564760213265,0.765836702637975,0.011443920400151191,0.3409614138501735,,
XGBoost,911,US,extended,0.016908295937627597,,,,368.0,0.02249358410536389,3.0,,,0.8022606958333381,0.8457947116737689,0.19618508033743906,0.07777103134515007,1.0115735729935855,0.13865525512763757
Ridge,911,KR,core,0.012823848635599086,0.010735378215036796,,,,,,,,,,,,,
ElasticNet,911,KR,core,0.012815690125366168,0.0001090778569000611,0.9087096391797401,,,,,,,,,,,,
Huber,911,KR,core,0.012101936280786579,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,911,KR,core,0.016761174991970426,,,,908.0,0.005293661964364217,10.0,215.0,14.0,0.6727299868828402,0.6733618039413735,0.0033205591037519565,0.042051564509138675,,
XGBoost,911,KR,core,0.015991297315756076,,,,384.0,0.024803716309102084,4.0,,,0.8507593653024389,0.856369926500515,0.016172672993694917,0.0313569713135636,1.089809378074098,0.07981507143896971
Ridge,911,KR,momentum,0.012774018491590534,0.010735378215036796,,,,,,,,,,,,,
ElasticNet,911,KR,momentum,0.012754534170000343,0.00012674255898937226,0.9229188669457948,,,,,,,,,,,,
Huber,911,KR,momentum,0.012310652611126814,0.034702669886504146,,1.641003510568888,,,,,,,,,,,
LightGBM,911,KR,momentum,0.016986119801219845,,,,280.0,0.021176577674139226,6.0,226.0,23.0,0.838539296610188,0.8076492143672138,0.0202247787278297,0.000363548830133532,,
XGBoost,911,KR,momentum,0.01826322497934937,,,,269.0,0.03930284009497084,5.0,,,0.7787724151117776,0.9287697448182486,0.01474058778722405,0.010262332042265373,2.7077445940840974,0.18439840609852115
Ridge,911,KR,extended,0.014746461675769467,90.12852407949295,,,,,,,,,,,,,
ElasticNet,911,KR,extended,0.014675516193877185,0.14619229330923583,0.060751139370714025,,,,,,,,,,,,
Huber,911,KR,extended,0.01676558481556219,0.046343808617582666,,1.623724590875202,,,,,,,,,,,
LightGBM,911,KR,extended,0.018548049403685322,,,,419.0,0.045424513009007746,3.0,95.0,5.0,0.8624175337686146,0.6759884824084973,0.0015887298352372263,0.6616359302482224,,
