ensemble_method,models,n_models,regime,country,feature_set,protocol,member_Ls,phase,RMSE,MAE,QLIKE,RMSE_CV,n_obs
equal_weight,LSTM+TCN,2,911,JP,extended,expanding,LSTM:L22|TCN:L22,Recovery,0.23677452487063813,0.18427361505372183,0.017490944117205146,0.18532101738093198,105
equal_weight,LSTM+TST,2,911,JP,extended,expanding,LSTM:L22|TST:L60,Full Test,0.2503241127404212,0.20526163974728118,0.016038186775667623,0.18232418605100267,133
equal_weight,LSTM+TST,2,911,JP,extended,expanding,LSTM:L22|TST:L60,Shock,0.343199338862186,0.27951376452257976,0.019441460389859364,0.19833549950346316,28
equal_weight,LSTM+TST,2,911,JP,extended,expanding,LSTM:L22|TST:L60,Recovery,0.21900348888918592,0.18546107314053492,0.01513064714521649,0.17141180789230478,105
equal_weight,1DCNN+TCN,2,911,JP,extended,expanding,1DCNN:L60|TCN:L22,Full Test,0.2898372918336103,0.2252145384935508,0.02088052332228476,0.2111037076783249,133
equal_weight,1DCNN+TCN,2,911,JP,extended,expanding,1DCNN:L60|TCN:L22,Shock,0.3935239715002762,0.33656859397888184,0.024242527785203243,0.22741819291626109,28
equal_weight,1DCNN+TCN,2,911,JP,extended,expanding,1DCNN:L60|TCN:L22,Recovery,0.25516830973953714,0.19552012369746252,0.019983988798839832,0.19971764610293122,105
equal_weight,1DCNN+TST,2,911,JP,extended,expanding,1DCNN:L60|TST:L60,Full Test,0.2407053656004243,0.19298631951864717,0.01536387288852511,0.17531834780421376,133
equal_weight,1DCNN+TST,2,911,JP,extended,expanding,1DCNN:L60|TST:L60,Shock,0.3015194447723363,0.23976334119265422,0.014372529278014143,0.17424861565057412,28
equal_weight,1DCNN+TST,2,911,JP,extended,expanding,1DCNN:L60|TST:L60,Recovery,0.22168844282680036,0.1805124470722453,0.015628231184661372,0.17351329408728924,105
equal_weight,TCN+TST,2,911,JP,extended,expanding,TCN:L22|TST:L60,Full Test,0.2645059367134604,0.21255164195111784,0.018403714294427203,0.19265355258423894,133
equal_weight,TCN+TST,2,911,JP,extended,expanding,TCN:L22|TST:L60,Shock,0.3415265187298997,0.2905018826745987,0.020040313234950948,0.19736877381682166,28
equal_weight,TCN+TST,2,911,JP,extended,expanding,TCN:L22|TST:L60,Recovery,0.23982534875662878,0.19176491109152297,0.017967287910287538,0.18770886627097086,105
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22,Full Test,0.2533743675270115,0.19870167104223915,0.016848521540083945,0.18454584666182022,133
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22,Shock,0.32537184360866617,0.27086667219797766,0.017201417249803643,0.18803295874763057,28
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22,Recovery,0.23040623339677538,0.1794576707340422,0.016754416017492026,0.18033662028179578,105
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TST:L60,Full Test,0.23783570212743413,0.192728236093262,0.014844768814384214,0.17322822132288762,133
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TST:L60,Shock,0.3057203191718553,0.24088449194087075,0.014574037108718916,0.17667630832953493,28
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TST:L60,Recovery,0.21616212260004875,0.17988656786723303,0.014916963935894962,0.16918789933735162,105
equal_weight,LSTM+TCN+TST,3,911,JP,extended,expanding,LSTM:L22|TCN:L22|TST:L60,Full Test,0.2465774493541966,0.19794402751577087,0.016182595631926495,0.17959529451585576,133
equal_weight,LSTM+TCN+TST,3,911,JP,extended,expanding,LSTM:L22|TCN:L22|TST:L60,Shock,0.3149225594134259,0.2556465716234661,0.016674393226206324,0.18199429909523293,28
equal_weight,LSTM+TCN+TST,3,911,JP,extended,expanding,LSTM:L22|TCN:L22|TST:L60,Recovery,0.2248708456515125,0.18255668242038542,0.016051449606785204,0.17600412847715372,105
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,expanding,1DCNN:L60|TCN:L22|TST:L60,Full Test,0.2547690066624873,0.20371017562550137,0.017174229234521277,0.18556163552221733,133
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,expanding,1DCNN:L60|TCN:L22|TST:L60,Shock,0.32582673498356884,0.27495247365597314,0.01765209201968381,0.18829584127054058,28
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,expanding,1DCNN:L60|TCN:L22|TST:L60,Recovery,0.2321760026990743,0.1847122294840422,0.017046799158477937,0.18172180075174188,105
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Full Test,0.2430496155214278,0.19409379641664118,0.015758950253849685,0.17702578802668367,133
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Shock,0.307639434954612,0.24859893891755513,0.015533737600235726,0.17778536870430117,28
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,expanding,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Recovery,0.2226837980546095,0.17955909174973078,0.015819006961480073,0.17429234852134964,105
equal_weight,LSTM+1DCNN,2,911,JP,extended,static,LSTM:L22|1DCNN:L60,Full Test,0.24096966189463925,0.19471216233082705,0.015669089064148423,0.1755108486742807,133
equal_weight,LSTM+1DCNN,2,911,JP,extended,static,LSTM:L22|1DCNN:L60,Shock,0.2948282275383221,0.2327511517857143,0.013901344420114077,0.1703817487505314,28
equal_weight,LSTM+1DCNN,2,911,JP,extended,static,LSTM:L22|1DCNN:L60,Recovery,0.2244350605565247,0.18456843180952376,0.016140487635890915,0.1756630441941279,105
equal_weight,LSTM+TCN,2,911,JP,extended,static,LSTM:L22|TCN:L22,Full Test,0.24877664186981843,0.19899027781954887,0.01675862312812101,0.18119708183016206,133
equal_weight,LSTM+TCN,2,911,JP,extended,static,LSTM:L22|TCN:L22,Shock,0.3123988492855595,0.2534579017857143,0.016068908651502505,0.18053584181320903,28
equal_weight,LSTM+TCN,2,911,JP,extended,static,LSTM:L22|TCN:L22,Recovery,0.22884264886899722,0.1844655780952381,0.01694254698855261,0.17911281883541386,105
equal_weight,LSTM+TST,2,911,JP,extended,static,LSTM:L22|TST:L60,Full Test,0.2378184033581092,0.1954360581954887,0.0148782011324812,0.1732156217324747,133
equal_weight,LSTM+TST,2,911,JP,extended,static,LSTM:L22|TST:L60,Shock,0.30700306027107593,0.24660966071428572,0.015134097545191683,0.17741760589715477,28
equal_weight,LSTM+TST,2,911,JP,extended,static,LSTM:L22|TST:L60,Recovery,0.21565261424754123,0.18178976419047624,0.014809962089091739,0.16878911259769191,105
equal_weight,1DCNN+TCN,2,911,JP,extended,static,1DCNN:L60|TCN:L22,Full Test,0.2808873867009425,0.22574942330827066,0.020153240076412927,0.20458502217320004,133
equal_weight,1DCNN+TCN,2,911,JP,extended,static,1DCNN:L60|TCN:L22,Shock,0.3752706303407342,0.31866244285714285,0.022214938688630687,0.21686955413337286,28
equal_weight,1DCNN+TCN,2,911,JP,extended,static,1DCNN:L60|TCN:L22,Recovery,0.2497658332866585,0.2009726180952381,0.019603453779821527,0.19548918293791936,105
equal_weight,1DCNN+TST,2,911,JP,extended,static,1DCNN:L60|TST:L60,Full Test,0.25084126800168255,0.2029494608270677,0.01693095329317527,0.18270085737497319,133
