model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L
TST,gfc,KR,core,22,static,Full Test,0.36831488022024483,0.19899573052660355,0.013344833813470172,0.2506139485158448,0.014488064315377365,0.016862160376002713,36,36,10,True
TST,gfc,KR,core,22,static,Pre-Lehman,0.17518413802304275,0.13193206776272168,0.01115617957517845,0.1533169381750063,0.014488064315377365,0.016862160376002713,36,36,10,True
TST,gfc,KR,core,22,static,Lehman Crisis,0.6657599357140511,0.3896531139389943,0.02182032979559999,0.285899627437397,0.014488064315377365,0.016862160376002713,36,36,10,True
TST,gfc,KR,core,22,static,Recovery,0.20687337472858938,0.14830743074417113,0.00836697618395647,0.15592274265303413,0.014488064315377365,0.016862160376002713,36,36,10,True
TST,gfc,JP,core,252,static,Full Test,0.4370569627008496,0.22457248787594658,0.0226029108006413,0.32146939821599724,0.011663495555241515,0.014516470874640865,46,46,10,True
TST,gfc,JP,core,252,static,Pre-Lehman,0.19707953264253264,0.14858968808762862,0.014123283579954234,0.18306971377528128,0.011663495555241515,0.014516470874640865,46,46,10,True
TST,gfc,JP,core,252,static,Lehman Crisis,0.8179278279115009,0.46444140191663774,0.05140142041022388,0.3844839013651405,0.011663495555241515,0.014516470874640865,46,46,10,True
TST,gfc,JP,core,252,static,Recovery,0.1754897447589301,0.14278260918406696,0.010470789302432261,0.1414064516787582,0.011663495555241515,0.014516470874640865,46,46,10,True
TST,covid,US,core,252,static,Full Test,0.40064358208004963,0.2051860479217383,0.021808822111438933,0.34945386384474714,0.016289950152310658,0.010600940586183685,31,31,10,True
TST,covid,US,core,252,static,Pre-crash,0.0879928892014422,0.07088290069784436,0.017512996160724128,0.1826638366573805,0.016289950152310658,0.010600940586183685,31,31,10,True
TST,covid,US,core,252,static,Crash,1.1715576385836448,0.8454584961845761,0.04854351200073999,0.3261736557989587,0.016289950152310658,0.010600940586183685,31,31,10,True
TST,covid,US,core,252,static,Recovery,0.23621692775029687,0.15963859343901277,0.01966780867706235,0.23616798666242114,0.016289950152310658,0.010600940586183685,31,31,10,True
TST,covid,KR,core,22,static,Full Test,0.25538223533505916,0.15921069405251934,0.020500251623112656,0.25042982845763717,0.012413092873855924,0.01002242952509194,32,32,10,True
TST,covid,KR,core,22,static,Pre-crash,0.12165987669600964,0.08390256677355085,0.008398935292394542,0.1560399943081756,0.012413092873855924,0.01002242952509194,32,32,10,True
TST,covid,KR,core,22,static,Crash,0.37767401818229474,0.2940044658524649,0.01710471092347953,0.19222142621771118,0.012413092873855924,0.01002242952509194,32,32,10,True
TST,covid,KR,core,22,static,Recovery,0.2567946551032756,0.15819566929712892,0.023077608009922184,0.2674431335564564,0.012413092873855924,0.01002242952509194,32,32,10,True
TST,covid,JP,core,60,static,Full Test,0.232672226173587,0.14840688237122127,0.02070143800068273,0.26732225552702826,0.01928149925849162,0.010820369130959072,20,20,10,True
TST,covid,JP,core,60,static,Pre-crash,0.12188436405690195,0.09752173315395009,0.02215144522831957,0.22710479517649726,0.01928149925849162,0.010820369130959072,20,20,10,True
TST,covid,JP,core,60,static,Crash,0.4267888734855995,0.32471044440018504,0.01740053659775568,0.1864503200752545,0.01928149925849162,0.010820369130959072,20,20,10,True
TST,covid,JP,core,60,static,Recovery,0.21915511496696266,0.13942538906810104,0.02078136750683111,0.27929598264870326,0.01928149925849162,0.010820369130959072,20,20,10,True
