"model","regime","country","feature_set","L","protocol","phase","RMSE","MAE","QLIKE","RMSE_CV","tuning_val_qlike","tuning_val_mse","tuning_best_epoch","final_epochs","n_features","is_best_L","best_val_loss","epochs_used","n_refits","source_branch","source_file"
"LSTM","covid","JP","core","60","expanding","Full Test","0.24479769453340353","0.1396339786778979","0.01805101534535615","0.2812534737242938","","","","","10","True","0.016177655588399998","37.0","12.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","expanding","Pre-crash","0.11583457633065167","0.09074715818419601","0.01870231147585337","0.21583234187157677","","","","","10","True","0.016177655588399998","37.0","12.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","expanding","Recovery","0.19271194478424505","0.12414968878992143","0.01773928765887881","0.24559623896878796","","","","","10","True","0.016177655588399998","37.0","12.0","LSTM_HS","dl_results_core.csv"
"LSTM","normal","US","momentum","60","static","Full Test","0.1705197613164503","0.0945207181668154","0.0182562860178366","0.2914471780957441","0.0268305803359618","0.0283464573677113","37.0","37.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","normal","KR","momentum","22","static","Full Test","0.0993659871281717","0.0749659558777081","0.0148940941464749","0.1869145947836169","0.012726009598038","0.0105019560480704","28.0","28.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","normal","JP","momentum","252","static","Full Test","0.1749265807869841","0.1078164749561923","0.0182113670850272","0.2570405004787034","0.0137085577435417","0.0312710886421473","41.0","41.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","static","Full Test","0.2916256165188679","0.1925040966934628","0.0289655543682307","0.2769475852499203","0.0167018731097734","0.0280589275062084","11.0","11.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","static","Recovery","0.2124237360166076","0.158528259396553","0.0267322487586784","0.2273966468994459","0.0167018731097734","0.0280589275062084","11.0","11.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","static","Shock","0.5105886692747283","0.3419977807998657","0.0387920990502608","0.3239952891199417","0.0167018731097734","0.0280589275062084","11.0","11.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","static","Full Test","0.4570089716205914","0.2814592933830093","0.0358846225655007","0.3238338499423309","0.016198824556736","0.0388762168586254","17.0","17.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","static","Recovery","0.3517476525749051","0.263259358909152","0.0301271832806241","0.2474376609609416","0.016198824556736","0.0388762168586254","17.0","17.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","static","Shock","0.7433258696747721","0.3549331029256184","0.0591276181970396","0.5427315907078124","0.016198824556736","0.0388762168586254","17.0","17.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","static","Full Test","0.2298386011865862","0.1764171791255922","0.0133570213506312","0.1674035130922435","0.011190614459061","0.0313584171235561","19.0","19.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","static","Recovery","0.2032325191214277","0.1639761975833348","0.0132337244131878","0.1590680299286844","0.011190614459061","0.0313584171235561","19.0","19.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","static","Shock","0.309894343642355","0.2230708599090576","0.0138193848660442","0.1790884843874517","0.011190614459061","0.0313584171235561","19.0","19.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
