model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Huber,911,JP,core,static,Recovery,0.1908368487681177,0.15305748564009367,0.010943116916745483,0.14936606487258133,0.01198200766923033,10
Huber,911,JP,core,expanding,Full Test,0.2170443776937613,0.16891720440958422,0.011530912665499668,0.15808480894586152,0.01198200766923033,10
Huber,911,JP,core,expanding,Shock,0.2981168327600626,0.23092722889331818,0.01464390765364408,0.17228223980881258,0.01198200766923033,10
Huber,911,JP,core,expanding,Recovery,0.18965976413592234,0.1523811978805885,0.010700780668661158,0.14844477267629988,0.01198200766923033,10
LightGBM,911,JP,core,static,Full Test,0.2585083534985443,0.1999850448175433,0.01585703707124069,0.1882851982067318,0.012850889091211204,10
LightGBM,911,JP,core,static,Shock,0.3523714108507378,0.29141313449109446,0.022347019828280714,0.2036360555152427,0.012850889091211204,10
LightGBM,911,JP,core,static,Recovery,0.227015764944828,0.17560422090459632,0.014126375002696685,0.1776829354117526,0.012850889091211204,10
LightGBM,911,JP,core,expanding,Full Test,0.24106164743341418,0.1882024905922703,0.014253219716972437,0.17557784672245527,0.012850889091211204,10
LightGBM,911,JP,core,expanding,Shock,0.3360301135219537,0.26524259099721564,0.019470714299936773,0.19419239116687434,0.012850889091211204,10
LightGBM,911,JP,core,expanding,Recovery,0.20855673738475639,0.1676584638176182,0.012861887828181947,0.16323524186713434,0.012850889091211204,10
XGBoost,911,JP,core,static,Full Test,0.23441322130171108,0.188572929815925,0.013989083836348802,0.17073544911700386,0.01373561625959977,10
XGBoost,911,JP,core,static,Shock,0.31603958728516307,0.2692644955665412,0.01879520338200005,0.18263983104088166,0.01373561625959977,10
XGBoost,911,JP,core,static,Recovery,0.20728684235045722,0.16705517894909397,0.012707451957508468,0.1622413079109885,0.01373561625959977,10
XGBoost,911,JP,core,expanding,Full Test,0.22106523462533156,0.17674035000944646,0.012284935819633145,0.1610134100300268,0.01373561625959977,10
XGBoost,911,JP,core,expanding,Shock,0.3105798617556198,0.26269786854891597,0.017190061810688266,0.17948464609455522,0.01373561625959977,10
XGBoost,911,JP,core,expanding,Recovery,0.19020822259242548,0.15381834506558792,0.010976902222018445,0.1488740455443166,0.01373561625959977,10
Ridge,gfc,US,core,static,Full Test,0.39221534542008196,0.2446675762553299,0.018567355020722782,0.24264351634971895,0.018962390980001357,10
Ridge,gfc,US,core,static,Pre-Lehman,0.24873078261163414,0.16726716587318974,0.01775823697796207,0.2231131292129254,0.018962390980001357,10
Ridge,gfc,US,core,static,Lehman Crisis,0.6584903656933113,0.4719932751839396,0.02527369662126823,0.2328349270381437,0.018962390980001357,10
Ridge,gfc,US,core,static,Recovery,0.24392034166440013,0.17748297958923623,0.011370097696170612,0.1550386896085664,0.018962390980001357,10
