source_branch,regime,country,feature_set,L,val_qlike,val_mse,val_rmse,val_rmse_cv,best_epoch,epochs_used,is_best_L
LSTM_HS,gfc,US,extended,252,0.015956584366841733,0.010387208657821573,0.1019176571389048,0.18004530186247858,96,100,True
LSTM_HS,gfc,KR,core,22,0.0132227894139229,0.015016201883554459,0.12254061156148374,0.16945431610527006,52,62,False
LSTM_HS,gfc,KR,core,60,0.015660851534919532,0.017883406291084904,0.13372885480624533,0.1849258898415349,16,26,False
LSTM_HS,gfc,KR,core,252,0.011751191584361475,0.013773210707210725,0.11735932291874841,0.16228941205990227,85,95,True
LSTM_HS,gfc,KR,momentum,22,0.015552418372934532,0.01791630877602485,0.13385181761734008,0.18509592799292757,10,20,True
LSTM_HS,gfc,KR,momentum,60,0.016128239431370695,0.018724849988375942,0.1368387722136418,0.18922641454676561,10,20,False
LSTM_HS,gfc,KR,momentum,252,0.01703538251825826,0.018242717750610843,0.1350656048644938,0.18677440409356733,22,32,False
LSTM_HS,gfc,KR,extended,22,0.013788005651971129,0.016677333342452205,0.12914075125564226,0.17858126711213457,31,41,True
LSTM_HS,gfc,KR,extended,60,0.013921749638700149,0.01722209864566403,0.1312329926232226,0.1814745065496789,34,44,False
LSTM_HS,gfc,KR,extended,252,0.014348330137221652,0.017218010680329417,0.13121741647394872,0.18145296719477338,20,30,False
LSTM_HS,gfc,JP,core,22,0.012256730237387275,0.014702723003350772,0.12125478455136762,0.17332429818391432,40,50,False
LSTM_HS,gfc,JP,core,60,0.01087339386451266,0.013607359061447473,0.11665058612815109,0.16674295408804138,46,56,False
LSTM_HS,gfc,JP,core,252,0.0107267779982897,0.013304858174371091,0.1153466854316198,0.16487912929989818,64,74,True
LSTM_HS,gfc,JP,momentum,22,0.012671922970588214,0.014962219908411204,0.12232015381610215,0.17484716081403676,99,100,True
LSTM_HS,gfc,JP,momentum,60,0.013945416454221201,0.016657291304486,0.1290631262706334,0.18448571629602672,18,28,False
LSTM_HS,gfc,JP,momentum,252,0.012784624770306521,0.015181827536116728,0.12321456174615085,0.1761256474926399,34,44,False
LSTM_HS,gfc,JP,extended,22,0.014494305443927123,0.01653550373699501,0.1285904484473608,0.18381006005459308,19,29,False
LSTM_HS,gfc,JP,extended,60,0.012718561974958485,0.014835785497507827,0.1218022407681055,0.1741068443317104,27,37,True
LSTM_HS,gfc,JP,extended,252,0.059955877924303805,0.04232255838479591,0.20572447834306912,0.2940671657616843,31,41,False
LSTM_HS,covid,US,core,22,0.017092215687382863,0.010574571096364513,0.10283273253923449,0.187782569334111,15,25,False
LSTM_HS,covid,US,core,60,0.016592902737276656,0.010333257968571171,0.1016526343142662,0.18562759521955444,16,26,False
LSTM_HS,covid,US,core,252,0.014044593074924326,0.009423424826418779,0.09707432589715398,0.17726715884350752,89,99,True
LSTM_HS,covid,US,momentum,22,0.016812912015355144,0.010209349174815488,0.10104132298168282,0.1845112812807824,21,31,False
LSTM_HS,covid,US,momentum,60,0.016015807823755827,0.009730752899749092,0.09864458016135497,0.18013459582547242,25,35,True
LSTM_HS,covid,US,momentum,252,0.016866128705064334,0.011693467836767196,0.10813634020134674,0.19746747266147843,30,40,False
LSTM_HS,covid,US,extended,22,0.01755996128557609,0.010537974843119522,0.10265463783343799,0.1874573510829427,16,26,False
LSTM_HS,covid,US,extended,60,0.018090174561989407,0.010720588438901078,0.10354027390700939,0.18907460867479708,14,24,False
LSTM_HS,covid,US,extended,252,0.01749296856638864,0.011527153450142906,0.10736458030529648,0.19605816404338788,37,47,True
LSTM_HS,covid,KR,core,22,0.012701151077864833,0.010367649603559046,0.10182165472988415,0.1699220206098987,29,39,True
LSTM_HS,covid,KR,core,60,0.012806150780756725,0.01038014469858335,0.10188299512334896,0.17002438668939523,27,37,False
