model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,gfc,JP,momentum,60,expanding,Recovery,0.2023891056372883,0.1662318745216766,0.014159889309693958,0.16308146852638217,,,,,14,TRUE,0.013878241957814808,30,24
1DCNN,covid,US,momentum,22,expanding,Full Test,0.3472889172472354,0.19620962771436862,0.021286019509178498,0.3029162563204537,,,,,14,TRUE,0.020155782498076164,54,13
1DCNN,covid,US,momentum,22,expanding,Pre-crash,0.11075517040093885,0.087165337,0.029232378076316883,0.22991590046285074,,,,,14,TRUE,0.020155782498076164,54,13
1DCNN,covid,US,momentum,22,expanding,Crash,1.0320669357643482,0.8498891705558413,0.033497929,0.2873380142648886,,,,,14,TRUE,0.020155782498076164,54,13
1DCNN,covid,US,momentum,22,expanding,Recovery,0.19248158322043366,0.14459129329770803,0.018501786993750515,0.1924417035294709,,,,,14,TRUE,0.020155782498076164,54,13
1DCNN,covid,KR,momentum,22,expanding,Full Test,0.2899781542030719,0.181834175,0.030899149783375778,0.2843548585838864,,,,,14,TRUE,0.019853205269956577,13,13
1DCNN,covid,KR,momentum,22,expanding,Pre-crash,0.18165817557715946,0.11642730746950422,0.024272172,0.23299333726863175,,,,,14,TRUE,0.019853205269956577,13,13
1DCNN,covid,KR,momentum,22,expanding,Crash,0.48659218872738313,0.35338179838089717,0.029548855445165237,0.24765655035986295,,,,,14,TRUE,0.019853205269956577,13,13
1DCNN,covid,KR,momentum,22,expanding,Recovery,0.2769481887070075,0.1749942807170252,0.032254881,0.28843237173608177,,,,,14,TRUE,0.019853205269956577,13,13
1DCNN,covid,JP,momentum,22,expanding,Full Test,0.25677506311560977,0.14461719157064662,0.021377168,0.2950145368186281,,,,,14,TRUE,0.018101612987514473,59,12
1DCNN,covid,JP,momentum,22,expanding,Pre-crash,0.12078369909488992,0.10020897921287653,0.024048325973816367,0.22505394728727177,,,,,14,TRUE,0.018101612987514473,59,12
1DCNN,covid,JP,momentum,22,expanding,Crash,0.642803556,0.3797153485448737,0.023256894114526104,0.28082018115656415,,,,,14,TRUE,0.018101612987514473,59,12
1DCNN,covid,JP,momentum,22,expanding,Recovery,0.19892179904028942,0.12848066482492673,0.020711238,0.2535102105263699,,,,,14,TRUE,0.018101612987514473,59,12
TCN,normal,US,momentum,60,static,Full Test,0.1654062026455932,0.097766326,0.01967928,0.2827072394918976,0.026676497,0.028554732,26,26,14,TRUE,0.016904717465832664,27,76
TCN,normal,KR,momentum,60,static,Full Test,0.10979576741966418,0.084629526,0.017831372,0.20653376441307816,0.013464405957590022,0.010642545839741092,30,30,14,TRUE,0.014136107758367449,46,74
TCN,normal,JP,momentum,252,static,Full Test,0.1781763682338557,0.11186460002440296,0.020432349785976786,0.2618158009964131,0.015259044540853726,0.031511335,25,25,14,TRUE,0.015080701230929089,29,73
TCN,911,US,momentum,60,static,Full Test,0.33961873422095323,0.21956502706916245,0.036422229,0.3225251247502879,0.020280910239433722,0.036436561,26,26,14,TRUE,0.026482326,33,7
TCN,911,US,momentum,60,static,Shock,0.6240121564529076,0.46293848276138305,0.045982782,0.39596844037197854,0.020280910239433722,0.036436561,26,26,14,TRUE,0.026482326,33,7
TCN,911,US,momentum,60,static,Recovery,0.23034046225184962,0.1642528780482032,0.034249376571160964,0.2465762524638205,0.020280910239433722,0.036436561,26,26,14,TRUE,0.026482326,33,7
