model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
GARCH,gfc,US,static,Recovery,0.5807278842126727,0.4960604854979403,0.04790429620221546,0.36911759623296964
GARCH,gfc,US,expanding,Full Test,0.7729697723150596,0.5610368084562404,0.07260352798765045,0.4781967502716801
GARCH,gfc,US,expanding,Pre-Lehman,0.471228429342653,0.37299087362571637,0.0709929007974619,0.422694964977019
GARCH,gfc,US,expanding,Lehman Crisis,1.2710807974033966,1.0182872357842174,0.08929193060372752,0.4494401439137283
GARCH,gfc,US,expanding,Recovery,0.6311146372677764,0.5403736619272534,0.05326851774882675,0.40114401975299635
HAR_RV,gfc,US,static,Full Test,0.570793788433537,0.3589519985727262,0.04058993925516171,0.3531208392362906
HAR_RV,gfc,US,static,Pre-Lehman,0.36783315133237254,0.2602797393742885,0.04211692745037851,0.32994872834118805
HAR_RV,gfc,US,static,Lehman Crisis,0.9636020629784627,0.6599203956414292,0.05237556551667954,0.340719056369444
HAR_RV,gfc,US,static,Recovery,0.3092402086049604,0.2565525198841451,0.017509779122305537,0.19655677910765312
HAR_RV,gfc,US,expanding,Full Test,0.5719747819531917,0.3608338495539344,0.04032389606738739,0.3538514593503209
HAR_RV,gfc,US,expanding,Pre-Lehman,0.36717649226161286,0.260421887605901,0.0420026016037219,0.3293597008852177
HAR_RV,gfc,US,expanding,Lehman Crisis,0.9648178279605322,0.6620820828958215,0.05089675275281353,0.34114893745145136
HAR_RV,gfc,US,expanding,Recovery,0.31932483355561836,0.26416881493227196,0.01852619020446488,0.2029666874690272
GARCH,gfc,KR,static,Full Test,0.8041291271856791,0.6632607688668024,0.09441430132017122,0.5471567576396206
GARCH,gfc,KR,static,Pre-Lehman,0.6744356318994544,0.5631295069404262,0.10431998796296565,0.5902498218582047
GARCH,gfc,KR,static,Lehman Crisis,1.1137670115434466,0.9792736227943801,0.0828419212495194,0.47828887838320894
GARCH,gfc,KR,static,Recovery,0.6556415390338504,0.5413430221955445,0.07743276408977678,0.4941642542192337
GARCH,gfc,KR,expanding,Full Test,0.8052097467613185,0.6618246984863319,0.09387666796150325,0.5478920478850046
GARCH,gfc,KR,expanding,Pre-Lehman,0.6811665335371301,0.5658331104768947,0.10447294218471233,0.5961405448637405
GARCH,gfc,KR,expanding,Lehman Crisis,1.108791736368375,0.9704344963452397,0.08083365964868765,0.4761523284957822
GARCH,gfc,KR,expanding,Recovery,0.651991765379062,0.5365963304268828,0.076690412580625,0.49141337958910386
HAR_RV,gfc,KR,static,Full Test,0.4518322236770595,0.27831659241438467,0.03027191184200693,0.3074419843110025
HAR_RV,gfc,KR,static,Pre-Lehman,0.3048176138821526,0.22528398239893496,0.029679661816738076,0.26676903440950767
HAR_RV,gfc,KR,static,Lehman Crisis,0.6715733624924252,0.4401939684058384,0.025344135961071955,0.28839610705781116
HAR_RV,gfc,KR,static,Recovery,0.47161298277452496,0.22184705975509847,0.03957624072824768,0.35545990306884595
HAR_RV,gfc,KR,expanding,Full Test,0.45218910822505487,0.27702242582714437,0.030142800754059385,0.30768482067338654
HAR_RV,gfc,KR,expanding,Pre-Lehman,0.30473224546635846,0.22508476314070397,0.02966783241560047,0.26669432202802673
HAR_RV,gfc,KR,expanding,Lehman Crisis,0.6705146850785698,0.4361525352096802,0.02488508760121824,0.2879414754987917
