model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
LightGBM,911,JP,extended,expanding,Recovery,0.19672898876655512,0.1587400667796653,0.011694230860421772,0.15397778305450494,0.012496105623431968,28
XGBoost,911,JP,extended,static,Full Test,0.23449139495730478,0.17976350124345847,0.013655464451272269,0.1707923870922716,0.01244676348668712,28
XGBoost,911,JP,extended,static,Shock,0.33208657017081594,0.26048608627260966,0.017623997448259456,0.19191341055706765,0.01244676348668712,28
XGBoost,911,JP,extended,static,Recovery,0.20060111523787139,0.15823747856901813,0.012597188985409019,0.15700845714833378,0.01244676348668712,28
XGBoost,911,JP,extended,expanding,Full Test,0.2221453931795255,0.17123906765151573,0.01210363344958569,0.16180014618272234,0.01244676348668712,28
XGBoost,911,JP,extended,expanding,Shock,0.30905387625273045,0.24325431138905457,0.015601188384299358,0.17860277639964556,0.01244676348668712,28
XGBoost,911,JP,extended,expanding,Recovery,0.19245185455060035,0.1520350026548387,0.011170952133662046,0.15063011350906352,0.01244676348668712,28
Ridge,gfc,US,extended,static,Full Test,0.39239974646652087,0.24435234262616135,0.019306193841652487,0.24275759581868664,0.017836604180967032,28
Ridge,gfc,US,extended,static,Pre-Lehman,0.246431367587129,0.16705501528391423,0.01763748970969774,0.22105053898549223,0.017836604180967032,28
Ridge,gfc,US,extended,static,Lehman Crisis,0.6541618844101327,0.46412612967243944,0.025967552597428164,0.2313044238200841,0.017836604180967032,28
Ridge,gfc,US,extended,static,Recovery,0.270039045713765,0.1881309575299433,0.015217196574778874,0.17164005062034665,0.017836604180967032,28
Ridge,gfc,US,extended,expanding,Full Test,0.38223882809999493,0.24528396478168524,0.01898444033336887,0.23647155680826587,0.017836604180967032,28
Ridge,gfc,US,extended,expanding,Pre-Lehman,0.2449596357788913,0.1664189662752359,0.017625501595674095,0.21973038598452327,0.017836604180967032,28
Ridge,gfc,US,extended,expanding,Lehman Crisis,0.6282418418357779,0.46182268595410836,0.024372029169178255,0.2221393827867635,0.017836604180967032,28
Ridge,gfc,US,extended,expanding,Recovery,0.27895865307599205,0.19946081523961512,0.01571030286425005,0.17730945985381374,0.017836604180967032,28
ElasticNet,gfc,US,extended,static,Full Test,0.4047911497935826,0.2541127855468183,0.019661167452364976,0.2504235214661535,0.018142457398674035,28
ElasticNet,gfc,US,extended,static,Pre-Lehman,0.2558771179212512,0.17205895108769664,0.018081879171908916,0.22952343845005357,0.018142457398674035,28
ElasticNet,gfc,US,extended,static,Lehman Crisis,0.6762881524882572,0.4874425522122825,0.027198963484514404,0.2391280280548588,0.018142457398674035,28
ElasticNet,gfc,US,extended,static,Recovery,0.26761961405832146,0.19438357494776515,0.013941205696254167,0.17010223089240634,0.018142457398674035,28
ElasticNet,gfc,US,extended,expanding,Full Test,0.4016530820841094,0.25177283737600625,0.018856910858501368,0.24848215993488915,0.018142457398674035,28
ElasticNet,gfc,US,extended,expanding,Pre-Lehman,0.2533468645434484,0.1709074809183942,0.017785814169850835,0.22725378471883603,0.018142457398674035,28
ElasticNet,gfc,US,extended,expanding,Lehman Crisis,0.6731475700522572,0.4882693352535101,0.025656763211777064,0.23801755276100475,0.018142457398674035,28
ElasticNet,gfc,US,extended,expanding,Recovery,0.2593381314955889,0.18308928902855331,0.012446136864689084,0.16483842142173583,0.018142457398674035,28
Huber,gfc,US,extended,static,Full Test,0.41305740818222364,0.25208080271635663,0.020615111636211953,0.25553743153085773,0.01707644905888842,28
Huber,gfc,US,extended,static,Pre-Lehman,0.2501983103353073,0.16455547506239118,0.01775984703350742,0.22442951112270568,0.01707644905888842,28
Huber,gfc,US,extended,static,Lehman Crisis,0.696241999322574,0.49277218844381354,0.02934259378878337,0.2461834881099301,0.01707644905888842,28
Huber,gfc,US,extended,static,Recovery,0.2855216587432347,0.20066457070107413,0.017624386939422095,0.18148098483446853,0.01707644905888842,28
Huber,gfc,US,extended,expanding,Full Test,0.39664954801065117,0.24741862765902006,0.019641680331065482,0.24538673004940315,0.01707644905888842,28
Huber,gfc,US,extended,expanding,Pre-Lehman,0.24791290557327755,0.1643143742267724,0.017681711529293494,0.22237948819180556,0.01707644905888842,28
Huber,gfc,US,extended,expanding,Lehman Crisis,0.6619091677866134,0.47953360026393305,0.026987822499376642,0.23404377773273774,0.01707644905888842,28
Huber,gfc,US,extended,expanding,Recovery,0.27437540062412347,0.19322746526822668,0.015555856714867141,0.174396289720342,0.01707644905888842,28
LightGBM,gfc,US,extended,static,Full Test,0.6419684284761655,0.3340694016452683,0.03315929491627345,0.3971529382771168,0.01641622056322182,28
LightGBM,gfc,US,extended,static,Pre-Lehman,0.26665184514061363,0.1779788648639196,0.020233658817443826,0.23918843882148405,0.01641622056322182,28
LightGBM,gfc,US,extended,static,Lehman Crisis,1.2008719135372536,0.7925468102563137,0.07548897533656006,0.42461505731554944,0.01641622056322182,28
LightGBM,gfc,US,extended,static,Recovery,0.2711600757707562,0.19852356259272158,0.015389211985453375,0.17235259074660988,0.01641622056322182,28
LightGBM,gfc,US,extended,expanding,Full Test,0.5261715500498886,0.2956394501180826,0.024076021324138323,0.3255153491522469,0.01641622056322182,28
LightGBM,gfc,US,extended,expanding,Pre-Lehman,0.26018263114223744,0.1746895861797896,0.01918931006238226,0.23338551180308026,0.01641622056322182,28
LightGBM,gfc,US,extended,expanding,Lehman Crisis,0.9499546748949508,0.6450646905687625,0.04303269653106813,0.3358934905385148,0.01641622056322182,28
LightGBM,gfc,US,extended,expanding,Recovery,0.2800521821659902,0.1993617331237744,0.012927749602205713,0.17800452003618847,0.01641622056322182,28
XGBoost,gfc,US,extended,static,Full Test,0.5556805496549309,0.3057214496926964,0.026278044806947322,0.3437710536057813,0.015761626855161436,28
XGBoost,gfc,US,extended,static,Pre-Lehman,0.26745920407740653,0.1807549685561993,0.019578698962894568,0.23991264503711415,0.015761626855161436,28
XGBoost,gfc,US,extended,static,Lehman Crisis,1.0109079311382818,0.6757552619448537,0.05091817208003684,0.3574458893427262,0.015761626855161436,28
XGBoost,gfc,US,extended,static,Recovery,0.27983785135254785,0.19273965833481901,0.013016789820649646,0.17786828880499184,0.015761626855161436,28
XGBoost,gfc,US,extended,expanding,Full Test,0.47211059267573496,0.2775149339037599,0.02096629225467215,0.29207060776802757,0.015761626855161436,28
XGBoost,gfc,US,extended,expanding,Pre-Lehman,0.26127435196879556,0.17493603496531612,0.018732172496059105,0.23436479248270817,0.015761626855161436,28
XGBoost,gfc,US,extended,expanding,Lehman Crisis,0.8312322583660928,0.577099362839872,0.03200577275301896,0.2939145541250955,0.015761626855161436,28
XGBoost,gfc,US,extended,expanding,Recovery,0.260352202728742,0.1910111454943367,0.01231027015324559,0.1654829772389547,0.015761626855161436,28
Ridge,gfc,KR,extended,static,Full Test,0.3045302912844195,0.19061266303513297,0.013031783914148073,0.20721274873526263,0.015546925427996346,28
Ridge,gfc,KR,extended,static,Pre-Lehman,0.1811521527713498,0.13711784775275843,0.011960431584928398,0.158540001217581,0.015546925427996346,28
Ridge,gfc,KR,extended,static,Lehman Crisis,0.49259313711012015,0.3375318118910603,0.017354318120688363,0.2115360004433702,0.015546925427996346,28
Ridge,gfc,KR,extended,static,Recovery,0.27857925882623746,0.15779534600580267,0.010338819591193784,0.20996825777951053,0.015546925427996346,28
Ridge,gfc,KR,extended,expanding,Full Test,0.3100149119047626,0.18901543943334007,0.012577441915871557,0.21094467080356674,0.015546925427996346,28
Ridge,gfc,KR,extended,expanding,Pre-Lehman,0.1800162362443115,0.1368485230838534,0.011766413775592564,0.15754587443065274,0.015546925427996346,28
Ridge,gfc,KR,extended,expanding,Lehman Crisis,0.5059281820992164,0.33230813971697987,0.016069371669050318,0.21726251563453744,0.015546925427996346,28
Ridge,gfc,KR,extended,expanding,Recovery,0.2816112858957013,0.15698248146633206,0.01021475476214192,0.21225352999969663,0.015546925427996346,28
ElasticNet,gfc,KR,extended,static,Full Test,0.3118224817817232,0.19542800336352467,0.013561718419251858,0.2121746027133164,0.015583082915415276,28
ElasticNet,gfc,KR,extended,static,Pre-Lehman,0.1847501191149118,0.1404068682231385,0.012461930471740943,0.1616888547076586,0.015583082915415276,28
ElasticNet,gfc,KR,extended,static,Lehman Crisis,0.5049393490865274,0.34658600410191936,0.017753212465861333,0.21683787760194576,0.015583082915415276,28
ElasticNet,gfc,KR,extended,static,Recovery,0.2854632900892765,0.16160510431946973,0.011159785770071637,0.21515682801582367,0.015583082915415276,28
ElasticNet,gfc,KR,extended,expanding,Full Test,0.31537154385225014,0.19259516611438152,0.013095139003709658,0.2145895050337529,0.015583082915415276,28
ElasticNet,gfc,KR,extended,expanding,Pre-Lehman,0.18382409444011735,0.14040122393187215,0.012324157491799345,0.1608784202147562,0.015583082915415276,28
