regime,country,feature_set,protocol,best_single_model,single_QLIKE,single_RMSE_CV,best_ensemble_models,ensemble_n_models,ensemble_QLIKE,ensemble_RMSE_CV,QLIKE_improvement,RMSE_CV_improvement,ensemble_better_QLIKE
gfc,KR,extended,expanding,LSTM,0.0140202834392298,0.2514939248766357,LSTM+1DCNN+TST,3,0.012820554602619445,0.20646513728249888,0.0011997288366103545,0.04502878759413681,True
gfc,KR,extended,static,LSTM,0.0154661834959197,0.2602233946442088,LSTM+1DCNN+TST,3,0.013985429412740669,0.21417265266456706,0.0014807540831790322,0.046050741979641735,True
gfc,KR,momentum,expanding,LSTM,0.0125829363002699,0.2382288300240567,LSTM+1DCNN+TST,3,0.010885517172971586,0.1850936076885327,0.0016974191272983146,0.05313522233552401,True
gfc,KR,momentum,static,1DCNN,0.012181423,0.2986366738743147,1DCNN+TST,2,0.0106457782770349,0.18613219193634076,0.0015356447229651002,0.11250448193797394,True
gfc,US,core,expanding,1DCNN,0.0216137367945707,0.3224344353729105,LSTM+1DCNN+TCN+TST,4,0.017413118275880494,0.23601759636761094,0.004200618518690205,0.08641683900529956,True
gfc,US,core,static,1DCNN,0.023523413,0.2856762603097881,1DCNN+TCN+TST,3,0.018977084666689466,0.25003350327876595,0.004546328333310534,0.035642757031022154,True
gfc,US,extended,expanding,LSTM,0.0250370485409598,0.3370359861249541,LSTM+1DCNN+TCN+TST,4,0.0199620088881208,0.2582713552587171,0.0050750396528390015,0.07876463086623703,True
gfc,US,extended,static,TCN,0.0244812360050201,0.320813291857086,TCN+TST,2,0.020022751796390355,0.26767111357203477,0.004458484208629744,0.053142178285051245,True
gfc,US,momentum,expanding,TST,0.0240431719316301,0.3136135591043284,LSTM+1DCNN+TCN+TST,4,0.018293894539350247,0.23413402896470895,0.005749277392279855,0.07947953013961948,True
gfc,US,momentum,static,LSTM,0.0259189267016749,0.3126185767866978,LSTM+TCN+TST,3,0.02142796321556788,0.26784241321967944,0.00449096348610702,0.04477616356701836,True
normal,JP,core,expanding,LSTM,0.015654215168426,0.2459836901059661,LSTM+TCN,2,0.015496753472367022,0.2362282932785632,0.00015746169605897892,0.009755396827402896,True
normal,JP,core,static,LSTM,0.0153184086151034,0.2386369018718389,LSTM+TST,2,0.016339239589995603,0.23780084552712624,-0.0010208309748922038,0.000836056344712649,False
normal,JP,extended,expanding,LSTM,0.0190936462182284,0.2607386214145431,LSTM+TCN+TST,3,0.018839995119171345,0.24994554188892776,0.0002536510990570548,0.010793079525615368,True
normal,JP,extended,static,LSTM,0.0205233159708189,0.2583772117785444,LSTM+TST,2,0.020210693329051465,0.2453497394149899,0.0003126226417674363,0.013027472363554504,True
normal,JP,momentum,expanding,LSTM,0.016178679108821,0.2457501047461022,LSTM+TCN+TST,3,0.015483932182657988,0.23506065664727574,0.0006947469261630104,0.010689448098826465,True
normal,JP,momentum,static,TST,0.0168978727100219,0.2431740919070362,LSTM+TST,2,0.01660037514267336,0.24370266991269124,0.0002974975673485404,-0.0005285780056550338,True
normal,KR,core,expanding,TST,0.0136751847186802,0.1822863313161006,LSTM+TCN+TST,3,0.013489121300725758,0.18036979333514158,0.0001860634179544421,0.0019165379809590322,True
normal,KR,core,static,LSTM,0.0137882757579631,0.1839530144608318,LSTM+TCN+TST,3,0.013107482835163033,0.1792738490362512,0.0006807929228000668,0.004679165424580578,True
normal,KR,extended,expanding,TST,0.0171263185418251,0.2056681209830421,LSTM+TCN+TST,3,0.01467974149311927,0.19130053042471853,0.0024465770487058294,0.014367590558323567,True
normal,KR,extended,static,TCN,0.0249347891567721,0.2511265378566702,LSTM+1DCNN+TCN+TST,4,0.015379653264470286,0.19318905541456247,0.009555135892301815,0.05793748244210775,True
normal,KR,momentum,expanding,TST,0.0135909096334077,0.1837762211960142,LSTM+TST,2,0.013430073343406611,0.18107560022237443,0.00016083629000108839,0.002700620973639767,True
normal,KR,momentum,static,LSTM,0.0148940941464749,0.1869145947836169,LSTM+TST,2,0.014179166446513786,0.1830302969208247,0.000714927699961114,0.0038842978627922076,True
normal,US,core,expanding,LSTM,0.0172922927567667,0.2807842978311127,LSTM+TCN+TST,3,0.017018187472234082,0.2690093587977433,0.0002741052845326164,0.011774939033369403,True
normal,US,core,static,LSTM,0.0187011807880955,0.2902622026846415,LSTM+TCN+TST,3,0.016245232889304007,0.26806034736784334,0.0024559478987914926,0.022201855316798136,True
normal,US,extended,expanding,LSTM,0.0212485841583593,0.2793374225367653,LSTM+TCN+TST,3,0.019873292233325443,0.2692417167595613,0.0013752919250338558,0.010095705777203978,True
normal,US,extended,static,LSTM,0.0214846583396981,0.2756577850680926,LSTM+1DCNN+TCN+TST,4,0.020813904606828564,0.2740581394185224,0.0006707537328695355,0.0015996456495701583,True
normal,US,momentum,expanding,LSTM,0.0182011857844422,0.2826474537144323,LSTM+TCN+TST,3,0.017158562256755612,0.2724653232201031,0.0010426235276865883,0.0101821304943292,True
normal,US,momentum,static,LSTM,0.0182562860178366,0.2914471780957441,LSTM+TCN+TST,3,0.01782449723389587,0.27419856120423497,0.0004317887839407307,0.01724861689150914,True
